trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
0,honest,0.3,0.95,19,45.0,0.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,272.2
1,honest,0.3,0.7,14,-45.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.2
2,honest,0.3,0.7,14,45.0,0.0,0.2,tile_47.3900_8.5410_47.3955_8.5465.png,,7.0
3,honest,0.3,0.75,15,-45.0,0.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.9
4,honest,0.3,0.15,3,45.0,4.0,0.0,tile_47.4065_8.5520_47.4100_8.5575.png,,7.1
5,honest,0.3,0.15,3,45.0,4.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,,7.0
6,honest,0.3,0.1,2,45.0,4.0,0.2,tile_47.4010_8.5355_47.4065_8.5410.png,,7.0
7,honest,0.3,1.0,20,0.0,0.0,0.0,tile_47.4065_8.5300_47.4100_8.5355.png,,7.0
8,honest,0.3,0.15,3,-45.0,4.0,0.2,tile_47.4010_8.5300_47.4065_8.5355.png,,7.0
9,honest,0.3,0.0,0,45.0,4.0,0.0,tile_47.4065_8.5300_47.4100_8.5355.png,,7.0
10,honest,0.3,0.05,1,-45.0,4.0,0.2,tile_47.3955_8.5520_47.4010_8.5575.png,,7.1
11,honest,0.3,0.6,12,-45.0,0.0,0.2,tile_47.3900_8.5575_47.3955_8.5630.png,,6.9
12,honest,0.3,0.0,0,-45.0,4.0,0.2,tile_47.4065_8.5575_47.4100_8.5630.png,,6.9
13,honest,0.3,0.8,16,0.0,0.0,0.2,tile_47.4010_8.5630_47.4065_8.5685.png,,6.9
14,honest,0.3,1.0,20,0.0,0.0,0.0,tile_47.3955_8.5685_47.4010_8.5700.png,,7.1
15,honest,0.3,0.1,2,-45.0,4.0,0.2,tile_47.4010_8.5355_47.4065_8.5410.png,,7.1
16,honest,0.3,0.8,16,45.0,0.0,0.2,tile_47.3900_8.5465_47.3955_8.5520.png,,7.1
17,honest,0.3,0.0,0,-45.0,4.0,0.2,tile_47.4010_8.5355_47.4065_8.5410.png,,8.1
18,honest,0.3,0.0,0,45.0,4.0,0.0,tile_47.4065_8.5685_47.4100_8.5700.png,,7.6
19,honest,0.3,0.15,3,0.0,4.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,7.9
20,honest,0.3,0.45,9,-45.0,0.0,0.2,tile_47.4065_8.5465_47.4100_8.5520.png,,7.8
21,honest,0.3,1.0,20,0.0,0.0,0.0,tile_47.4065_8.5685_47.4100_8.5700.png,,7.9
