trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
0,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,261.1
1,honest,0.3,0.975,39,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.2
2,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.3900_8.5410_47.3955_8.5465.png,,7.0
3,honest,0.3,1.0,40,-15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,7.0
4,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,,7.2
5,honest,0.3,0.45,18,-15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,7.3
6,honest,0.3,0.375,15,-15.0,1.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,7.1
7,honest,0.3,0.975,39,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.2
8,honest,0.3,0.425,17,-15.0,1.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,,7.2
9,honest,0.3,0.15,6,0.0,1.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,7.5
10,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,7.1
11,honest,0.3,0.6,24,15.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,7.3
12,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,7.0
13,honest,0.3,1.0,40,0.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.0
14,honest,0.3,0.4,16,0.0,1.0,0.0,tile_47.4010_8.5685_47.4065_8.5700.png,,7.0
15,honest,0.3,0.6,24,-15.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,7.1
16,honest,0.3,0.525,21,15.0,1.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,,6.9
17,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,6.9
18,honest,0.3,0.2,8,0.0,1.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,,7.0
19,honest,0.3,1.0,40,-15.0,0.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,,6.9
20,honest,0.3,0.65,26,0.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,7.0
21,honest,0.3,0.725,29,15.0,1.0,0.0,tile_47.4065_8.5685_47.4100_8.5700.png,,6.9
22,honest,0.3,0.5,20,0.0,1.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,7.0
23,honest,0.3,0.95,38,-15.0,0.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,,6.9
