trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
0,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,276.9
1,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.2
2,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.3900_8.5410_47.3955_8.5465.png,,6.9
3,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,7.0
4,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,,6.9
5,honest,0.3,0.55,11,-15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,7.0
6,honest,0.3,0.4,8,-15.0,1.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,7.0
7,honest,0.3,1.0,20,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.1
8,honest,0.3,0.6,12,-15.0,1.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,,7.2
9,honest,0.3,0.15,3,0.0,1.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,7.2
10,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,7.1
11,honest,0.3,0.75,15,15.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,7.2
12,honest,0.3,1.0,20,15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,7.0
13,honest,0.3,1.0,20,0.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.2
14,honest,0.3,0.55,11,0.0,1.0,0.0,tile_47.4010_8.5685_47.4065_8.5700.png,,7.3
15,honest,0.3,0.75,15,-15.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,7.5
16,honest,0.3,0.7,14,15.0,1.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,,7.5
