t_s,reporter,target,reason
5.224900173023343,6,0,1
5.4343351339921355,5,0,1
5.5892777680419385,4,0,1
5.594131623860449,3,0,1
5.602389681851491,2,0,1
5.604441583855078,6,1,1
5.617023732047528,6,3,1
5.628978720866144,6,2,1
5.640679651871324,6,4,1
5.6529653910547495,6,5,2
5.6645457989070565,6,7,2
5.7139314820524305,5,1,1
5.725848869886249,5,3,1
5.73800253495574,5,2,1
5.738572941860184,1,0,1
5.749478009995073,5,6,2
5.760842690942809,5,4,1
5.772302245954052,5,7,2
5.774663236923516,7,0,1
5.7900895099155605,4,1,1
5.791830281959847,2,1,1
5.806433341000229,2,3,1
5.807002858025953,4,3,1
5.808987088035792,3,1,1
5.823769660899416,2,6,2
5.8243787998799235,4,2,1
5.8249738870654255,3,2,1
5.828301887959242,0,1,1
5.8425580558832735,4,6,2
5.843189625069499,2,4,1
5.843763921875507,3,6,2
5.844313428038731,0,3,1
5.858674459857866,4,5,2
5.859279217896983,3,4,1
5.859822663944215,2,5,2
5.874774552881718,4,7,2
5.875447172904387,3,5,2
5.875996039947495,2,7,2
5.886696011060849,3,7,2
5.907510065939277,0,2,1
5.9099868109915406,1,3,1
5.920674941968173,0,6,2
5.922155556036159,1,2,1
5.9342606998980045,0,4,1
5.934814526932314,1,6,2
5.947986631887034,0,5,2
5.948543678969145,1,4,1
5.961967671988532,1,5,2
5.962532869074494,0,7,2
5.973314072936773,1,7,2
6.1306340279988945,7,1,1
6.142534484853968,7,3,1
6.1539902300573885,7,2,1
6.16532820998691,7,6,2
6.176407602848485,7,4,1
6.187763134017587,7,5,2
6.601424128049985,6,0,1
6.632232143077999,7,0,1
6.718327418901026,5,0,1
6.839495997875929,4,0,1
6.842005892889574,2,0,1
6.843206088989973,3,0,1
6.915096117882058,1,0,1
7.113051432883367,6,3,1
7.1342970409896225,6,2,1
7.139236098853871,7,3,1
7.159702874021605,7,2,1
7.178706653881818,7,1,1
7.2205608210060745,5,3,1
7.241413716925308,5,2,1
7.260123840067536,5,1,1
7.275367547059432,5,4,1
7.298428339883685,4,3,1
7.299752859864384,2,3,1
7.311444950988516,3,2,1
7.321365838870406,4,2,1
7.322757459944114,3,1,1
7.323778111021966,2,1,1
7.33263538707979,3,4,1
7.339636947028339,4,1,1
7.343951107002795,3,6,2
7.345461942022666,2,4,1
7.354673788882792,4,6,2
7.36223227600567,2,6,2
7.416640880052,0,3,1
7.41722289705649,1,3,1
7.438506055856124,1,2,1
7.439048693049699,0,2,1
7.458254029974341,1,4,1
7.458797415951267,0,1,1
7.4745916000101715,0,4,1
7.4752068989910185,1,6,2
7.487448876025155,1,5,2
7.488000103039667,0,6,2
7.498001913074404,0,5,2
7.601737587945536,6,1,1
7.6116824669297785,6,4,1
7.621929854853079,6,5,2
7.637176702031866,7,4,1
7.65652369405143,7,6,2
7.6752054039388895,7,5,2
7.719808324007317,5,6,2
7.740027880994603,5,7,2
7.79220991791226,2,5,2
7.792828737059608,4,5,2
7.805624440079555,2,7,2
7.808207558002323,4,7,2
7.815756724914536,3,5,2
7.835232079960406,3,7,2
7.910383966052905,0,7,2
7.912698705913499,1,7,2
8.110074962954968,6,7,2
16.60929025290534,6,0,1
16.636245612055063,7,0,1
16.71829854301177,5,0,1
16.793183558853343,4,0,1
16.797240640968084,2,0,1
16.813237871043384,3,0,1
16.915528608951718,1,0,1
17.113203848944977,6,3,1
17.134467235999182,6,2,1
17.13798159197904,7,3,1
17.157308741938323,7,2,1
17.17540066386573,7,1,1
17.22056862898171,5,3,1
17.239945449866354,5,2,1
17.25833497196436,5,1,1
17.272838996956125,5,4,1
17.297052702866495,4,3,1
17.298809126019478,2,3,1
17.31037175306119,3,2,1
17.319984380854294,2,1,1
17.320542607922107,4,2,1
17.32156068785116,3,1,1
17.33161566988565,3,4,1
17.341229517944157,2,4,1
17.341808984987438,4,1,1
17.342970999889076,3,6,2
17.358681462006643,2,6,2
17.3592334180139,4,6,2
17.41646257485263,0,3,1
17.417083204025403,1,3,1
17.43861539894715,1,2,1
17.439168686047196,0,2,1
17.45850414596498,1,4,1
17.45905758207664,0,1,1
17.47575978306122,1,6,2
17.47632379992865,0,4,1
17.4933165400289,0,6,2
17.493880077032372,1,5,2
17.508426972897723,0,5,2
17.609503554878756,6,1,1
17.628848204854876,6,4,1
17.636896427022293,7,4,1
17.64851058507338,6,5,2
17.65639127092436,7,6,2
17.675715761026368,7,5,2
17.719466662965715,5,6,2
17.73961447691545,5,7,2
17.78998091793619,4,5,2
17.79759931587614,2,5,2
17.805361598962918,4,7,2
17.817645337898284,2,7,2
17.818254315992817,3,5,2
17.838646217947826,3,7,2
