k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,3,1000003,0,46.0975,48.6836,45.8963,2.1338,600,3,3,0,20.0,0.0,50.0,50.67
0,5,1000005,0,20.326,24.5845,19.4475,3.6611,600,3,3,0,20.0,0.0,50.0,50.68
0,4,1000004,0,12.2182,48.8674,23.1599,15.7834,600,3,3,0,20.0,0.0,50.0,50.68
0,2,1000002,0,25.6331,48.0452,34.0894,12.1061,600,3,3,0,20.0,0.0,50.0,50.68
0,6,1000006,0,10.4267,10.6985,8.9979,2.8527,600,3,3,0,20.0,0.0,50.0,50.69
0,7,1000007,0,8.9414,10.5858,8.0427,1.9288,600,3,3,0,20.0,0.0,50.0,50.69
0,0,1000000,0,56.3879,66.7328,50.9592,16.0028,600,3,3,0,20.0,0.0,50.0,50.69
0,1,1000001,0,19.7461,30.0098,22.0187,5.8074,600,3,3,0,20.0,0.0,50.0,50.69
0,13,1000013,0,7.9958,15.0322,9.1869,3.2561,600,3,3,0,20.0,0.0,50.0,50.59
0,11,1000011,0,33.2739,36.0294,31.0367,5.1709,600,3,3,0,20.0,0.0,50.0,50.6
0,12,1000012,0,25.4852,35.2015,25.8181,7.217,600,3,3,0,20.0,0.0,50.0,50.6
0,8,1000008,0,11.9453,15.2967,10.9733,3.8725,600,3,3,0,20.0,0.0,50.0,50.63
0,15,1000015,0,15.2797,21.088,16.6882,3.0182,600,3,3,0,20.0,0.0,50.0,50.61
0,9,1000009,0,17.0087,19.797,17.6603,1.5778,600,3,3,0,20.0,0.0,50.0,50.63
0,10,1000010,0,29.8127,31.8278,28.4858,2.986,600,3,3,0,20.0,0.0,50.0,50.63
0,14,1000014,0,15.5832,26.8155,18.5929,5.3529,600,3,3,0,20.0,0.0,50.0,50.63
0,16,1000016,0,12.4374,15.6167,12.8373,2.2074,600,3,3,0,20.0,0.0,50.0,50.58
0,20,1000020,0,18.7407,20.6007,15.203,6.2076,600,3,3,0,20.0,0.0,50.0,50.58
0,18,1000018,0,10.9977,14.5736,11.874,1.5745,600,3,3,0,20.0,0.0,50.0,50.61
0,17,1000017,0,17.9619,29.6127,20.0905,6.2644,600,3,3,0,20.0,0.0,50.0,50.62
0,21,1000021,0,15.2183,26.7668,17.1236,7.127,600,3,3,0,20.0,0.0,50.0,50.6
0,23,1000023,0,11.0527,12.3622,10.0945,2.1859,600,3,3,0,20.0,0.0,50.0,50.6
0,22,1000022,0,21.3844,23.3763,18.0453,5.4508,600,3,3,0,20.0,0.0,50.0,50.61
0,19,1000019,0,28.7742,30.9613,27.3761,3.1161,600,3,3,0,20.0,0.0,50.0,50.62
0,24,1000024,0,45.4281,48.5178,43.7027,5.0281,600,3,3,0,20.0,0.0,50.0,50.62
0,26,1000026,0,29.1095,31.0975,27.1398,3.5886,600,3,3,0,20.0,0.0,50.0,50.6
0,27,1000027,0,22.7155,33.8652,25.1871,6.699,600,3,3,0,20.0,0.0,50.0,50.6
0,29,1000029,0,14.1754,26.0392,13.9124,4.7432,600,3,3,0,20.0,0.0,50.0,50.6
0,28,1000028,0,17.7837,22.0272,17.1754,3.9579,600,3,3,0,20.0,0.0,50.0,50.6
0,30,1000030,0,8.8522,10.8918,8.5239,1.9175,600,3,3,0,20.0,0.0,50.0,50.6
0,25,1000025,0,11.4567,13.6751,11.6106,1.5769,600,3,3,0,20.0,0.0,50.0,50.63
0,31,1000031,0,24.0189,26.9064,24.7708,1.49,600,3,3,0,20.0,0.0,50.0,50.6
0,32,1000032,0,14.0804,17.7613,14.7622,2.2141,600,3,3,0,20.0,0.0,50.0,50.62
