k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,1,1000001,0,19.7449,30.0102,21.9194,5.8777,600,3,3,0,20.0,0.0,50.0,50.57
0,0,1000000,0,56.3959,66.5829,50.1431,16.442,600,3,3,0,20.0,0.0,50.0,50.57
0,3,1000003,0,46.0971,48.6835,45.8952,2.1461,600,3,3,0,20.0,0.0,50.0,50.49
0,2,1000002,0,25.7005,48.3148,33.7608,12.1085,600,3,3,0,20.0,0.0,50.0,50.49
0,4,1000004,0,12.218,47.7451,22.1652,15.1983,600,3,3,0,20.0,0.0,50.0,50.53
3,0,1300000,3,8.5159,9.4177,7.6664,1.8876,600,12,36,9,185.835,-123.418,50.0,51.15
3,1,1300001,3,9.143,11.0989,9.0034,1.0972,507,12,35,9,-259.016,21.71,50.0,51.17
3,2,1300002,3,4.6479,8.3191,5.4812,1.7121,599,12,36,9,-31.131,239.742,50.0,51.18
3,3,1300003,3,4.3944,6.107,4.6864,0.9761,594,12,36,9,171.051,-145.257,50.0,51.2
3,4,1300004,3,6.273,8.5893,6.2954,1.6889,594,12,35,9,123.224,-192.58,50.0,51.14
