k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,3,1000003,0,46.0975,48.6837,45.9047,2.1416,600,3,3,0,20.0,0.0,50.0,50.69
0,0,1000000,0,56.3879,66.7327,50.9593,16.0028,600,3,3,0,20.0,0.0,50.0,50.69
0,4,1000004,0,12.2184,48.8677,23.1607,15.7837,600,3,3,0,20.0,0.0,50.0,50.69
0,6,1000006,0,10.4266,10.6984,9.0083,2.8287,600,3,3,0,20.0,0.0,50.0,50.69
0,5,1000005,0,20.3254,24.5839,19.4471,3.6609,600,3,3,0,20.0,0.0,50.0,50.7
0,7,1000007,0,8.9413,10.5859,8.0321,1.9281,600,3,3,0,20.0,0.0,50.0,50.7
0,2,1000002,0,25.6338,48.0466,34.0895,12.1065,600,3,3,0,20.0,0.0,50.0,50.71
0,1,1000001,0,19.7461,30.0097,22.0186,5.8074,600,3,3,0,20.0,0.0,50.0,50.71
0,10,1000010,0,29.8127,31.8278,28.4858,2.986,600,3,3,0,20.0,0.0,50.0,50.62
0,8,1000008,0,11.9453,15.2967,10.9733,3.8725,600,3,3,0,20.0,0.0,50.0,50.62
0,13,1000013,0,7.9958,15.0324,9.1869,3.2562,600,3,3,0,20.0,0.0,50.0,50.61
0,14,1000014,0,15.5831,26.8154,18.5929,5.3528,600,3,3,0,20.0,0.0,50.0,50.61
0,15,1000015,0,15.2797,21.0882,16.6883,3.0183,600,3,3,0,20.0,0.0,50.0,50.62
0,11,1000011,0,33.2739,36.0297,31.0368,5.1709,600,3,3,0,20.0,0.0,50.0,50.64
0,12,1000012,0,25.4851,35.2014,25.8179,7.217,600,3,3,0,20.0,0.0,50.0,50.63
0,9,1000009,0,17.0087,19.797,17.6603,1.5778,600,3,3,0,20.0,0.0,50.0,50.65
0,19,1000019,0,28.7743,30.9615,27.3761,3.1162,600,3,3,0,20.0,0.0,50.0,50.6
0,17,1000017,0,17.9619,29.6128,20.0905,6.2644,600,3,3,0,20.0,0.0,50.0,50.63
0,16,1000016,0,12.4374,15.6167,12.8373,2.2074,600,3,3,0,20.0,0.0,50.0,50.64
0,18,1000018,0,10.9977,14.5736,11.874,1.5745,600,3,3,0,20.0,0.0,50.0,50.64
0,23,1000023,0,11.0527,12.362,10.0933,2.1848,600,3,3,0,20.0,0.0,50.0,50.62
0,21,1000021,0,15.2182,26.7667,17.1234,7.127,600,3,3,0,20.0,0.0,50.0,50.63
0,20,1000020,0,18.7406,20.6006,15.2029,6.2075,600,3,3,0,20.0,0.0,50.0,50.64
0,22,1000022,0,21.3844,23.3763,18.0453,5.4508,600,3,3,0,20.0,0.0,50.0,50.64
0,24,1000024,0,45.4281,48.5178,43.7026,5.028,600,3,3,0,20.0,0.0,50.0,50.63
0,27,1000027,0,22.7155,33.8652,25.1871,6.699,600,3,3,0,20.0,0.0,50.0,50.6
0,28,1000028,0,17.7837,22.0272,17.1754,3.9579,600,3,3,0,20.0,0.0,50.0,50.62
0,30,1000030,0,8.8523,10.8918,8.524,1.9176,600,3,3,0,20.0,0.0,50.0,50.62
0,31,1000031,0,24.0189,26.9063,24.7707,1.49,600,3,3,0,20.0,0.0,50.0,50.61
0,25,1000025,0,11.4567,13.6751,11.6106,1.5769,600,3,3,0,20.0,0.0,50.0,50.65
0,26,1000026,0,29.1095,31.0975,27.1398,3.5886,600,3,3,0,20.0,0.0,50.0,50.64
0,29,1000029,0,14.1754,26.0407,13.9132,4.7438,600,3,3,0,20.0,0.0,50.0,50.64
0,32,1000032,0,14.0805,17.7614,14.7623,2.2141,600,3,3,0,20.0,0.0,50.0,50.65
0,33,1000033,0,15.8972,20.8512,17.2595,3.5046,600,3,3,0,20.0,0.0,50.0,50.65
0,34,1000034,0,8.74,12.2369,9.8698,1.6885,600,3,3,0,20.0,0.0,50.0,50.64
0,35,1000035,0,9.8073,30.9446,15.9047,10.6289,600,3,3,0,20.0,0.0,50.0,50.64
0,39,1000039,0,48.5982,54.1965,48.4881,2.9034,600,3,3,0,20.0,0.0,50.0,50.63
0,38,1000038,0,14.7466,22.1619,15.1119,5.522,600,3,3,0,20.0,0.0,50.0,50.65
0,37,1000037,0,15.827,26.358,17.8678,3.9,600,3,3,0,20.0,0.0,50.0,50.65
0,36,1000036,0,14.0119,25.9073,16.3962,5.4425,600,3,3,0,20.0,0.0,50.0,50.66
0,41,1000041,0,25.6417,41.2211,28.2752,9.5789,600,3,3,0,20.0,0.0,50.0,50.61
0,42,1000042,0,25.7366,31.2062,26.7964,3.2449,600,3,3,0,20.0,0.0,50.0,50.62
0,40,1000040,0,7.9057,10.6351,8.0884,1.9866,600,3,3,0,20.0,0.0,50.0,50.64
0,44,1000044,0,34.4104,36.0411,34.5505,0.6978,600,3,3,0,20.0,0.0,50.0,50.62
0,45,1000045,0,28.0585,37.6746,26.5864,7.664,600,3,3,0,20.0,0.0,50.0,50.62
0,43,1000043,0,24.3874,33.5686,24.016,7.4416,600,3,3,0,20.0,0.0,50.0,50.64
0,47,1000047,0,27.7915,50.0998,27.7479,9.672,600,3,3,0,20.0,0.0,50.0,50.62
0,46,1000046,0,5.7227,9.8637,6.4243,2.4172,600,3,3,0,20.0,0.0,50.0,50.64
0,48,1000048,0,8.657,15.894,9.8678,4.4049,600,3,3,0,20.0,0.0,50.0,50.61
0,49,1000049,0,19.4669,24.5308,19.7262,3.8314,600,3,3,0,20.0,0.0,50.0,50.61
1,1,1100001,1,35.3915,39.1026,27.8792,10.7109,271,6,13,3,89.73,23.891,50.0,50.87
1,2,1100002,1,3.9428,5.9451,4.1373,0.6566,266,6,14,3,20.242,96.662,50.0,50.87
1,0,1100000,1,8.8909,10.0672,9.0497,0.4983,278,6,14,3,54.733,-49.004,50.0,50.89
1,4,1100004,1,8.6727,8.7901,8.693,0.2553,263,6,14,3,-14.387,-58.872,50.0,50.89
1,5,1100005,1,30.38,30.92,29.9433,1.0046,269,6,14,3,-53.174,-31.762,50.0,50.88
1,3,1100003,1,30.7819,32.0536,31.2999,0.663,310,6,14,3,-54.691,-29.745,50.0,50.91
1,7,1100007,1,19.9099,20.4189,19.6518,0.485,280,6,13,3,-37.724,-46.886,50.0,50.85
1,6,1100006,1,100.8226,106.084,100.3441,2.8534,501,6,14,3,79.359,-22.546,50.0,50.88
1,10,1100010,1,10.8113,14.3297,11.7593,1.9436,282,6,13,3,-32.532,-50.436,50.0,50.89
1,9,1100009,1,25.0653,25.8113,24.8575,1.6379,320,6,14,3,-68.216,34.122,50.0,50.9
1,8,1100008,1,36.8996,37.1635,36.904,0.3804,333,6,14,3,21.523,96.486,50.0,50.92
1,12,1100012,1,22.2816,24.3843,22.404,1.4413,276,6,13,3,-39.618,80.075,50.0,50.89
1,11,1100011,1,12.3621,12.9795,11.2835,1.4804,435,6,14,3,40.575,-56.606,50.0,50.92
1,13,1100013,1,18.5224,19.634,18.7816,0.7911,342,6,14,3,77.471,-25.665,50.0,50.9
1,14,1100014,1,25.6277,36.2428,27.067,3.8977,310,6,14,3,-45.866,74.583,50.0,50.86
