k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,5,1000005,0,0.2631,0.453,0.3228,0.0926,600,3,3,0,20.0,0.0,50.0,50.66
0,6,1000006,0,0.4981,0.5274,0.4996,0.023,600,3,3,0,20.0,0.0,50.0,50.67
0,3,1000003,0,0.3735,0.8387,0.5005,0.242,600,3,3,0,20.0,0.0,50.0,50.67
0,7,1000007,0,0.3305,0.6274,0.3494,0.2201,600,3,3,0,20.0,0.0,50.0,50.67
0,1,1000001,0,0.5209,0.5241,0.4651,0.0804,600,3,3,0,20.0,0.0,50.0,50.68
0,4,1000004,0,0.1573,0.4816,0.2242,0.1889,600,3,3,0,20.0,0.0,50.0,50.68
0,2,1000002,0,0.5906,0.7223,0.6278,0.0665,600,3,3,0,20.0,0.0,50.0,50.68
0,0,1000000,0,0.7241,0.7729,0.7334,0.0286,600,3,3,0,20.0,0.0,50.0,50.69
0,8,1000008,0,0.498,0.6448,0.5031,0.114,600,3,3,0,20.0,0.0,50.0,50.62
0,11,1000011,0,0.7858,0.9019,0.8226,0.0564,600,3,3,0,20.0,0.0,50.0,50.63
0,10,1000010,0,0.3409,0.4116,0.3309,0.07,600,3,3,0,20.0,0.0,50.0,50.63
0,14,1000014,0,0.4961,0.8059,0.5811,0.1609,600,3,3,0,20.0,0.0,50.0,50.63
0,15,1000015,0,0.3003,0.3246,0.294,0.0278,600,3,3,0,20.0,0.0,50.0,50.63
0,12,1000012,0,0.9748,1.0008,0.9137,0.1064,600,3,3,0,20.0,0.0,50.0,50.63
0,9,1000009,0,0.5131,0.6705,0.5352,0.1044,600,3,3,0,20.0,0.0,50.0,50.64
0,13,1000013,0,0.4775,0.4934,0.4653,0.0291,600,3,3,0,20.0,0.0,50.0,50.63
0,16,1000016,0,0.3192,0.5625,0.3891,0.1237,600,3,3,0,20.0,0.0,50.0,50.61
0,22,1000022,0,0.3648,0.5949,0.393,0.1547,600,3,3,0,20.0,0.0,50.0,50.59
0,23,1000023,0,0.3144,0.3638,0.3161,0.0382,600,3,3,0,20.0,0.0,50.0,50.59
