scenario,trial,follower_id,switching_time_s,detection_ok,n_anchors,n_followers,pass_threshold_s,wall_time_s
S1,3,0,6.021929994225502,True,3,10,15.0,16.79
S1,3,1,6.144516772124916,True,3,10,15.0,16.79
S1,3,2,6.01003086194396,True,3,10,15.0,16.79
S1,3,3,6.007866241969168,True,3,10,15.0,16.79
S1,3,4,6.104372514877468,True,3,10,15.0,16.79
S1,3,5,6.109927318058908,True,3,10,15.0,16.79
S1,3,6,6.0870244898833334,True,3,10,15.0,16.79
S1,3,7,6.086559412069619,True,3,10,15.0,16.79
S1,3,8,6.05203933827579,True,3,10,15.0,16.79
S1,3,9,6.1035939999856055,True,3,10,15.0,16.79
S1,1,0,6.147028629202396,True,3,10,15.0,16.79
S1,1,1,6.124065780080855,True,3,10,15.0,16.79
S1,1,2,6.0914294281974435,True,3,10,15.0,16.79
S1,1,3,6.159955357201397,True,3,10,15.0,16.79
S1,1,4,6.129759302828461,True,3,10,15.0,16.79
S1,1,5,6.136544619686902,True,3,10,15.0,16.79
S1,1,6,6.043144060764462,True,3,10,15.0,16.79
S1,1,7,6.022176832892001,True,3,10,15.0,16.79
S1,1,8,6.138748709112406,True,3,10,15.0,16.79
S1,1,9,6.043962656985968,True,3,10,15.0,16.79
S1,2,0,6.0260797049850225,True,3,10,15.0,16.81
S1,2,1,6.182442447170615,True,3,10,15.0,16.81
S1,2,2,6.015348656103015,True,3,10,15.0,16.81
S1,2,3,6.060991246253252,True,3,10,15.0,16.81
S1,2,4,6.193029236979783,True,3,10,15.0,16.81
S1,2,5,6.116248758044094,True,3,10,15.0,16.81
S1,2,6,6.087649756111205,True,3,10,15.0,16.81
S1,2,7,6.167330051306635,True,3,10,15.0,16.81
S1,2,8,6.101152622140944,True,3,10,15.0,16.81
S1,2,9,6.118482457008213,True,3,10,15.0,16.81
S1,0,0,6.004510098602623,True,3,10,15.0,16.81
S1,0,1,6.0815095664002,True,3,10,15.0,16.81
S1,0,2,6.012082322034985,True,3,10,15.0,16.81
S1,0,3,6.12249644799158,True,3,10,15.0,16.81
S1,0,4,6.13871478009969,True,3,10,15.0,16.81
S1,0,5,6.047101202886552,True,3,10,15.0,16.81
S1,0,6,6.017797453794628,True,3,10,15.0,16.81
S1,0,7,6.0456136502325535,True,3,10,15.0,16.81
S1,0,8,6.14063552999869,True,3,10,15.0,16.81
S1,0,9,6.114664755761623,True,3,10,15.0,16.81
S1,5,0,6.100504904054105,True,3,10,15.0,16.63
S1,5,1,6.048945153132081,True,3,10,15.0,16.63
S1,5,2,6.034631551709026,True,3,10,15.0,16.63
S1,5,3,6.006520417984575,True,3,10,15.0,16.63
S1,5,4,6.098892372101545,True,3,10,15.0,16.63
S1,5,5,6.024573231115937,True,3,10,15.0,16.63
S1,5,6,6.048870773985982,True,3,10,15.0,16.63
S1,5,7,6.0940584349446,True,3,10,15.0,16.63
S1,5,8,6.077602904289961,True,3,10,15.0,16.63
S1,5,9,6.058865495026112,True,3,10,15.0,16.63
S1,4,0,6.13829365093261,True,3,10,15.0,16.79
