trial,seed,victim_id,spoofed,t_detect_s,detected,n_false_pos,detection_rate,pass_trial,n_uavs,n_spoofed,n_edges,wall_time_s
0,1000000,2,True,0.2036,True,0,1.0,True,20,2,104,12.08
0,1000000,4,True,0.1992,True,0,1.0,True,20,2,104,12.08
1,1000001,5,True,0.202,True,0,1.0,True,20,2,90,12.08
1,1000001,11,True,0.1987,True,0,1.0,True,20,2,90,12.08
2,1000002,1,True,0.5983,True,0,1.0,True,20,2,69,12.07
2,1000002,17,True,0.1972,True,0,1.0,True,20,2,69,12.07
3,1000003,10,True,0.1963,True,0,1.0,True,20,2,99,12.08
3,1000003,16,True,0.2053,True,0,1.0,True,20,2,99,12.08
5,1000005,1,True,0.5989,True,0,1.0,True,20,2,73,12.07
5,1000005,8,True,0.1984,True,0,1.0,True,20,2,73,12.07
4,1000004,5,True,0.1964,True,0,1.0,True,20,2,89,12.1
4,1000004,15,True,0.1998,True,0,1.0,True,20,2,89,12.1
6,1000006,10,True,0.1994,True,0,1.0,True,20,2,94,12.07
6,1000006,18,True,0.2034,True,0,1.0,True,20,2,94,12.07
7,1000007,6,True,0.2018,True,0,1.0,True,20,2,80,12.07
7,1000007,8,True,0.206,True,0,1.0,True,20,2,80,12.07
8,1000008,9,True,0.2002,True,0,1.0,True,20,2,107,12.07
8,1000008,15,True,0.4003,True,0,1.0,True,20,2,107,12.07
9,1000009,6,True,0.5984,True,0,1.0,True,20,2,76,12.08
9,1000009,16,True,0.2172,True,0,1.0,True,20,2,76,12.08
10,1000010,7,True,0.2048,True,0,1.0,True,20,2,99,12.08
10,1000010,10,True,0.2017,True,0,1.0,True,20,2,99,12.08
11,1000011,10,True,0.1976,True,0,1.0,True,20,2,85,12.08
11,1000011,17,True,0.2009,True,0,1.0,True,20,2,85,12.08
12,1000012,0,True,0.5965,True,0,1.0,True,20,2,85,12.08
12,1000012,12,True,0.1985,True,0,1.0,True,20,2,85,12.08
13,1000013,17,True,0.2019,True,0,1.0,True,20,2,104,12.09
13,1000013,19,True,0.3995,True,0,1.0,True,20,2,104,12.09
14,1000014,12,True,0.2013,True,0,1.0,True,20,2,85,12.08
14,1000014,18,True,0.2045,True,0,1.0,True,20,2,85,12.08
15,1000015,6,True,0.2,True,0,1.0,True,20,2,83,12.08
15,1000015,19,True,0.2029,True,0,1.0,True,20,2,83,12.08
16,1000016,1,True,0.5979,True,0,1.0,True,20,2,98,12.07
16,1000016,10,True,0.1969,True,0,1.0,True,20,2,98,12.07
17,1000017,9,True,0.2,True,0,1.0,True,20,2,89,12.07
17,1000017,16,True,0.2057,True,0,1.0,True,20,2,89,12.07
18,1000018,8,True,0.2012,True,0,1.0,True,20,2,79,12.09
18,1000018,11,True,0.197,True,0,1.0,True,20,2,79,12.09
19,1000019,4,True,0.198,True,0,1.0,True,20,2,109,12.1
19,1000019,10,True,0.4039,True,0,1.0,True,20,2,109,12.1
20,1000020,10,True,0.2022,True,0,1.0,True,20,2,70,12.07
20,1000020,14,True,0.1982,True,0,1.0,True,20,2,70,12.07
21,1000021,9,True,0.198,True,0,1.0,True,20,2,91,12.07
21,1000021,18,True,0.4162,True,0,1.0,True,20,2,91,12.07
22,1000022,12,True,0.2284,True,0,1.0,True,20,2,103,12.07
22,1000022,16,True,0.4187,True,0,1.0,True,20,2,103,12.07
23,1000023,7,True,0.2245,True,0,1.0,True,20,2,87,12.08
23,1000023,13,True,0.405,True,0,1.0,True,20,2,87,12.08
24,1000024,4,True,0.2033,True,0,1.0,True,20,2,95,12.08
24,1000024,18,True,0.4169,True,0,1.0,True,20,2,95,12.08
25,1000025,18,True,0.1987,True,0,1.0,True,20,2,94,12.08
25,1000025,19,True,0.2018,True,0,1.0,True,20,2,94,12.08
26,1000026,11,True,0.196,True,0,1.0,True,20,2,94,12.08
26,1000026,18,True,0.1993,True,0,1.0,True,20,2,94,12.08
27,1000027,10,True,0.1987,True,0,1.0,True,20,2,70,12.08
27,1000027,16,True,0.2036,True,0,1.0,True,20,2,70,12.08
28,1000028,5,True,0.1998,True,0,0.5,False,20,2,71,12.09
28,1000028,13,True,,False,0,0.5,False,20,2,71,12.09
29,1000029,2,True,0.1971,True,0,1.0,True,20,2,91,12.07
29,1000029,12,True,0.4177,True,0,1.0,True,20,2,91,12.07
