trial,seed,n_events,rebal_latency_median,rebal_latency_max,over_cap_interval_median,over_cap_interval_max,pass_rebalance_per_event,pass_over_cap_per_event,mission_survived,total_attached_final,pass_trial,wall_time_s
1,1000001,3,0.0,0.0,0.0,0.0,3,3,True,41,True,129.45
0,1000000,3,0.0,0.0,0.0,0.0,3,3,True,41,True,129.45
2,1000002,3,0.0,0.0,0.0,0.0,3,3,True,42,True,129.39
3,1000003,3,0.0,0.0,0.0,0.0,3,3,True,41,True,129.39
4,1000004,3,0.0,0.0,0.0,0.0,3,3,True,39,True,129.38
5,1000005,3,0.0,0.0,0.0,0.0,3,3,True,40,True,129.38
7,1000007,3,0.0,0.0,0.0,0.0,3,3,True,42,True,129.36
6,1000006,3,0.0,0.0,0.0,0.0,3,3,True,42,True,129.37
8,1000008,3,0.0,0.0,0.0,0.0,3,3,True,42,True,129.35
9,1000009,3,0.0,0.0,0.0,0.0,3,3,False,35,False,129.36
11,1000011,3,0.0,0.0,0.0,0.0,3,3,True,39,True,129.36
10,1000010,3,0.0,0.0,0.0,0.0,3,3,True,41,True,129.38
13,1000013,3,0.0,0.0,0.0,0.0,3,3,True,41,True,129.34
12,1000012,3,0.0,0.0,0.0,0.0,3,3,True,42,True,129.35
14,1000014,3,0.0,0.0,0.0,0.0,3,3,True,40,True,129.29
