trial,seed,n_events,rebal_latency_median,rebal_latency_max,over_cap_interval_median,over_cap_interval_max,pass_rebalance_per_event,pass_over_cap_per_event,mission_survived,total_attached_final,pass_trial,wall_time_s
1,1000001,3,29.9105,29.9593,29.6177,29.8997,0,0,True,40,False,129.39
0,1000000,3,29.908,29.9954,29.7418,29.7579,0,0,True,40,False,129.39
3,1000003,3,29.9505,29.9709,29.8009,29.8971,0,0,True,40,False,129.34
2,1000002,3,29.9028,29.9329,29.6283,29.7602,0,0,True,40,False,129.36
4,1000004,3,29.8807,29.907,29.4816,29.7721,0,0,True,40,False,129.36
5,1000005,3,29.8878,29.9965,29.4001,29.8056,0,0,True,40,False,129.36
7,1000007,3,29.9336,29.9594,29.5894,29.7764,0,0,True,40,False,129.35
6,1000006,3,29.8799,29.9349,21.4092,29.7455,0,0,True,40,False,129.37
8,1000008,3,29.8734,29.9279,29.6473,29.831,0,0,True,40,False,129.36
9,1000009,3,29.8476,29.9747,29.7182,29.8454,0,0,True,40,False,129.36
10,1000010,3,29.9439,29.9478,29.8571,29.8589,0,0,True,40,False,129.38
11,1000011,3,29.9447,30.0564,29.6552,29.7653,0,0,True,40,False,129.38
13,1000013,3,29.8207,29.9372,29.5539,29.8247,0,0,True,40,False,129.36
12,1000012,3,29.9503,30.0146,29.7796,29.8375,0,0,True,40,False,129.37
14,1000014,3,29.9381,29.9601,29.8255,29.8379,0,0,True,40,False,129.31
