trial,seed,victim_id,spoofed,t_detect_s,detected,n_false_pos,detection_rate,pass_trial,n_uavs,n_spoofed,n_edges,wall_time_s
0,1000000,2,True,,False,0,0.0,False,20,2,104,12.08
0,1000000,4,True,,False,0,0.0,False,20,2,104,12.08
1,1000001,5,True,,False,0,0.0,False,20,2,90,12.1
1,1000001,11,True,,False,0,0.0,False,20,2,90,12.1
2,1000002,1,True,,False,0,0.0,False,20,2,69,12.08
2,1000002,17,True,,False,0,0.0,False,20,2,69,12.08
3,1000003,10,True,,False,0,0.0,False,20,2,99,12.07
3,1000003,16,True,,False,0,0.0,False,20,2,99,12.07
4,1000004,5,True,,False,0,0.0,False,20,2,89,12.08
4,1000004,15,True,,False,0,0.0,False,20,2,89,12.08
