k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,3,1000003,0,69.7092,70.48,67.574,2.802,600,3,3,0,20.0,0.0,50.0,50.6
0,4,1000004,0,26.1123,26.1137,26.1115,0.002,600,3,3,0,20.0,0.0,50.0,50.61
0,5,1000005,0,27.9324,27.9336,27.9318,0.0014,600,3,3,0,20.0,0.0,50.0,50.63
0,7,1000007,0,31.9122,31.9159,25.4336,6.4808,600,3,3,0,20.0,0.0,50.0,50.63
0,2,1000002,0,69.1759,69.1773,69.1758,0.001,600,3,3,0,20.0,0.0,50.0,50.64
0,0,1000000,0,64.4313,65.6778,61.9279,3.5054,600,3,3,0,20.0,0.0,50.0,50.64
0,1,1000001,0,36.1645,36.1689,36.1652,0.002,600,3,3,0,20.0,0.0,50.0,50.64
0,6,1000006,0,3.9235,3.9262,3.9237,0.0014,600,3,3,0,20.0,0.0,50.0,50.65
0,8,1000008,0,39.5022,39.5054,39.5023,0.0019,600,3,3,0,20.0,0.0,50.0,50.63
0,9,1000009,0,28.0704,28.0733,28.0699,0.0024,600,3,3,0,20.0,0.0,50.0,50.63
0,13,1000013,0,33.0317,33.0342,33.0314,0.0017,600,3,3,0,20.0,0.0,50.0,50.61
0,14,1000014,0,63.1545,63.1597,60.4798,2.6777,600,3,3,0,20.0,0.0,50.0,50.61
0,11,1000011,0,25.0598,25.0679,17.3551,7.709,600,3,3,0,20.0,0.0,50.0,50.62
0,10,1000010,0,42.5071,42.5083,42.5067,0.0013,600,3,3,0,20.0,0.0,50.0,50.63
0,12,1000012,0,61.3863,61.3895,56.3035,5.0849,600,3,3,0,20.0,0.0,50.0,50.63
0,15,1000015,0,45.5597,45.5673,36.9673,8.5968,600,3,3,0,20.0,0.0,50.0,50.62
0,16,1000016,0,14.7651,14.7667,14.7632,0.0036,600,3,3,0,20.0,0.0,50.0,50.62
0,22,1000022,0,30.1914,30.1971,30.192,0.0022,600,3,3,0,20.0,0.0,50.0,50.6
0,18,1000018,0,49.2284,49.2326,49.2286,0.0027,600,3,3,0,20.0,0.0,50.0,50.62
0,17,1000017,0,43.3638,43.3652,43.3627,0.0022,600,3,3,0,20.0,0.0,50.0,50.64
0,21,1000021,0,33.2386,33.2403,33.2375,0.0023,600,3,3,0,20.0,0.0,50.0,50.61
0,20,1000020,0,35.3568,35.3782,35.3345,0.0358,600,3,3,0,20.0,0.0,50.0,50.63
0,23,1000023,0,17.1117,17.1132,17.1111,0.0015,600,3,3,0,20.0,0.0,50.0,50.61
0,19,1000019,0,44.5557,44.5596,38.3031,6.2551,600,3,3,0,20.0,0.0,50.0,50.64
0,24,1000024,0,36.107,36.1082,36.1069,0.0008,600,3,3,0,20.0,0.0,50.0,50.62
0,26,1000026,0,43.172,43.1901,37.3305,5.853,600,3,3,0,20.0,0.0,50.0,50.61
0,27,1000027,0,41.7329,41.736,41.7332,0.0015,600,3,3,0,20.0,0.0,50.0,50.61
0,30,1000030,0,15.2607,15.2633,15.2608,0.0015,600,3,3,0,20.0,0.0,50.0,50.61
0,25,1000025,0,26.8542,26.8598,20.4717,6.3853,600,3,3,0,20.0,0.0,50.0,50.63
0,29,1000029,0,30.081,30.3381,27.9643,2.3284,600,3,3,0,20.0,0.0,50.0,50.62
0,31,1000031,0,28.591,29.1597,28.4853,0.4008,600,3,3,0,20.0,0.0,50.0,50.61
0,28,1000028,0,14.743,14.7445,14.7429,0.0012,600,3,3,0,20.0,0.0,50.0,50.63
0,33,1000033,0,49.2441,49.2455,49.2441,0.0009,600,3,3,0,20.0,0.0,50.0,50.61
0,37,1000037,0,55.5962,55.5981,55.5962,0.0011,600,3,3,0,20.0,0.0,50.0,50.59
0,34,1000034,0,59.9384,59.9411,59.9386,0.0015,600,3,3,0,20.0,0.0,50.0,50.61
0,32,1000032,0,40.1219,40.1234,40.1215,0.0015,600,3,3,0,20.0,0.0,50.0,50.64
0,38,1000038,0,37.4108,37.4123,37.4109,0.0008,600,3,3,0,20.0,0.0,50.0,50.61
0,39,1000039,0,38.0528,38.0547,38.0523,0.0015,600,3,3,0,20.0,0.0,50.0,50.61
0,35,1000035,0,13.2605,13.2967,13.1151,0.1641,600,3,3,0,20.0,0.0,50.0,50.63
0,36,1000036,0,43.369,43.371,43.3691,0.0011,600,3,3,0,20.0,0.0,50.0,50.62
0,42,1000042,0,40.8232,40.8245,40.8229,0.0014,600,3,3,0,20.0,0.0,50.0,50.61
0,44,1000044,0,85.9034,85.9121,75.2274,10.68,600,3,3,0,20.0,0.0,50.0,50.61
0,40,1000040,0,27.6176,27.6214,23.1812,4.4383,600,3,3,0,20.0,0.0,50.0,50.64
0,41,1000041,0,34.6408,34.6426,34.6407,0.0012,600,3,3,0,20.0,0.0,50.0,50.63
0,45,1000045,0,38.0602,38.062,38.0598,0.0016,600,3,3,0,20.0,0.0,50.0,50.62
0,43,1000043,0,55.8903,55.8921,55.8901,0.0015,600,3,3,0,20.0,0.0,50.0,50.63
0,46,1000046,0,21.4423,21.4448,21.4425,0.0013,600,3,3,0,20.0,0.0,50.0,50.62
0,47,1000047,0,65.9567,66.2297,65.2809,0.9103,600,3,3,0,20.0,0.0,50.0,50.63
0,48,1000048,0,36.394,36.3987,36.3942,0.0024,600,3,3,0,20.0,0.0,50.0,50.6
0,49,1000049,0,50.9273,50.9286,50.9268,0.0012,600,3,3,0,20.0,0.0,50.0,50.62
3,1,1300001,3,39.3917,40.4046,39.4804,0.5008,573,12,35,9,-259.016,21.71,50.0,51.78
