k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
1,0,1100000,1,51.6816,78.0071,55.8038,13.2978,600,4,6,3,44.733,-66.324,50.0,50.59
1,1,1100001,1,39.1242,77.8256,44.5412,17.4267,601,4,6,3,79.73,6.571,50.0,50.6
1,3,1100003,1,33.1489,35.634,33.07,2.0558,600,4,6,3,-64.691,-47.065,50.0,50.54
1,2,1100002,1,21.1424,99.2124,42.0307,30.4864,600,4,6,3,10.242,79.342,50.0,50.55
1,4,1100004,1,16.9374,25.6935,16.2995,6.7005,600,4,6,3,-24.387,-76.193,50.0,50.56
2,0,1200000,2,2.1297,2.4955,2.2036,0.3448,600,5,7,4,64.57,-146.392,50.0,50.58
2,1,1200001,2,5.1744,5.7395,3.9776,1.9961,600,5,7,4,73.958,-141.881,50.0,50.59
2,2,1200002,2,6.8963,10.5789,7.3428,2.5848,600,5,7,4,-11.269,-159.603,50.0,50.58
2,3,1200003,2,22.9819,23.6099,21.8916,1.9624,600,5,7,4,15.284,159.268,50.0,50.58
2,4,1200004,2,4.4195,11.5289,6.4807,3.6847,600,5,7,4,-146.635,-64.017,50.0,50.58
3,0,1300000,3,13.9129,14.049,11.7497,2.6045,511,6,8,5,205.835,-123.418,50.0,50.61
3,1,1300001,3,11.9201,12.4082,11.3805,0.9031,545,6,8,5,-239.016,21.71,50.0,50.63
3,2,1300002,3,2.962,6.3496,4.2022,1.6677,526,6,8,5,-11.131,239.742,50.0,50.63
3,3,1300003,3,2.4888,5.4125,3.1066,1.846,539,6,8,5,191.051,-145.257,50.0,50.62
3,4,1300004,3,7.29,7.5096,6.3122,1.308,533,6,8,5,143.224,-192.58,50.0,50.61
